ntd_id,agency,reporter_type,organization_type,city,state,report_year,agency_voms,uace_code,uza_name,primary_uza_area_sq_miles,primary_uza_population,service_area_sq_miles,service_area_population,actual_vehicle_passenger_car_miles,actual_vehicle_passenger_car_revenue_miles,actual_vehicle_passenger_car_deadhead_miles,scheduled_vehicle_passenger_car_revenue_miles,actual_vehicle_passenger_car_hours,actual_vehicle_passenger_car_revenue_hours,actual_vehicle_passenger_car_deadhead_hours,charter_service_hours,school_bus_hours,trains_in_operation,train_miles,train_revenue_miles,train_deadhead_miles,train_hours,train_revenue_hours,train_deadhead_hours,unlinked_passenger_trips_upt,ada_upt,sponsored_service_upt,passenger_miles_traveled,directional_route_miles
30,"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)",Reduced Reporter,Tribe,Palmer,AK,2023,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,26418.0,0.0,0.0,0.0,1916.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2013.0,,0.0,0.0,0.0
30,"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)",Reduced Reporter,Tribe,Palmer,AK,2024,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,32313.0,,,,2107.0,,,,,,,,,,,3015.0,,0.0,,
391,City and Borough of Juneau,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Juneau,AK,2022,18.0,,,,,,,0.0,669175.0,0.0,0.0,0.0,45766.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,625410.0,,2302.0,0.0,0.0
391,"City and Borough of Juneau, dba: Capital Transit",Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Juneau,AK,2023,18.0,,,0.0,,,,0.0,652800.0,0.0,0.0,0.0,43110.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,713103.0,,2631.0,0.0,0.0
391,"City and Borough of Juneau, dba: Capital Transit",Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Juneau,AK,2024,20.0,,,0.0,,,,,718178.0,,,,47555.0,,,,,,,,,,,870064.0,,2136.0,,
387,City of Bethel,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Bethel,AK,2022,1.0,,,,,,,0.0,19326.0,0.0,0.0,0.0,1463.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,7596.0,,,0.0,0.0
387,"City of Bethel, dba: Bethel Transit System",Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Bethel,AK,2023,1.0,,,0.0,,,,0.0,37600.0,0.0,0.0,0.0,2625.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,11876.0,,,0.0,0.0
387,"City of Bethel, dba: Bethel Transit System",Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Bethel,AK,2024,1.0,,,0.0,,,,,45045.0,,,,5870.0,,,,,,,,,,,12014.0,,,,
460,Craig Tribal Association,Reduced Reporter,Tribe,Craig,AK,2022,2.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,33456.0,0.0,0.0,0.0,1826.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2920.0,,,0.0,0.0
460,Craig Tribal Association,Reduced Reporter,Tribe,Craig,AK,2023,2.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,63825.0,0.0,0.0,0.0,1922.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1701.0,,,0.0,0.0
460,Craig Tribal Association,Reduced Reporter,Tribe,Craig,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,36659.0,,,,1941.0,,,,,,,,,,,1543.0,,,,
45,Fairbanks North Star Borough,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Fairbanks,AK,2022,18.0,28549.0,"Fairbanks, AK",74.3,71396.0,7338.0,95593.0,0.0,637821.0,0.0,0.0,0.0,40898.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,202075.0,,0.0,0.0,0.0
45,"Fairbanks North Star Borough , dba: Metropolitan Area Commuter System",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Fairbanks,AK,2023,18.0,28549.0,"Fairbanks, AK",74.3,71396.0,7338.0,95356.0,0.0,573896.0,0.0,0.0,0.0,39003.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,291199.0,,0.0,0.0,0.0
45,"Fairbanks North Star Borough , dba: Metropolitan Area Commuter System",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Fairbanks,AK,2024,20.0,28549.0,"Fairbanks, AK",74.3,71396.0,7338.0,95356.0,,683860.0,,,,40822.0,,,,,,,,,,,295964.0,,0.0,,
345,Glacier Valley Transit,Rural Reporter,Private-Non-Profit Corporation,Girdwood,AK,2022,4.0,,,,,,,0.0,82942.0,0.0,0.0,0.0,8401.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,45076.0,,,0.0,0.0
345,Glacier Valley Transit,Rural Reporter,Private-Non-Profit Corporation,Girdwood,AK,2023,2.0,,,0.0,,,,0.0,82937.0,0.0,0.0,0.0,6475.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,66316.0,,,0.0,0.0
345,Glacier Valley Transit,Rural Reporter,Private-Non-Profit Corporation,Girdwood,AK,2024,2.0,,,0.0,,,,,79868.0,,,,6201.0,,,,,,,,,,,73620.0,,,,
85,Gulkana Village Council,Reduced Reporter,Tribe,Gakona,AK,2022,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,107540.0,0.0,0.0,0.0,3364.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1643.0,,0.0,0.0,0.0
85,"Gulkana Village Council, dba: Soaring Eagle Transit",Reduced Reporter,Tribe,Gakona,AK,2023,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,138256.0,0.0,0.0,0.0,4188.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2403.0,,0.0,0.0,0.0
85,"Gulkana Village Council, dba: Soaring Eagle Transit",Reduced Reporter,Tribe,Gakona,AK,2024,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,103947.0,,,,2789.0,,,,,,,,,,,1209.0,,0.0,,
400,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,Fort Yukon,AK,2022,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,4464.0,0.0,0.0,0.0,539.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1770.0,,,0.0,0.0
400,"Gwichyaa Zhee Tribal Transit Service, dba: Native Village of Fort Yukon",Reduced Reporter,Tribe,Fort Yukon,AK,2023,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,9677.0,0.0,0.0,0.0,1247.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2873.0,,,0.0,0.0
400,"Gwichyaa Zhee Tribal Transit Service, dba: Native Village of Fort Yukon",Reduced Reporter,Tribe,Fort Yukon,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,12020.0,,,,1525.0,,,,,,,,,,,4310.0,,,,
279,Hydaburg Cooperative Association,Reduced Reporter,Tribe,Hydaburg,AK,2022,2.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,35431.0,0.0,0.0,0.0,2169.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2404.0,,0.0,0.0,0.0
279,"Hydaburg Cooperative Association, dba: HCA transit",Reduced Reporter,Tribe,Hydaburg,AK,2023,2.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,25101.0,0.0,0.0,0.0,1644.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1336.0,,0.0,0.0,0.0
279,"Hydaburg Cooperative Association, dba: HCA transit",Reduced Reporter,Tribe,Hydaburg,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,17407.0,,,,1255.0,,,,,,,,,,,677.0,,0.0,,
382,Inter-Island Ferry Authority,Rural Reporter,Independent Public Agency or Authority of Transit Service,Craig,AK,2022,1.0,,,,,,,0.0,25776.0,0.0,0.0,0.0,2148.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,38542.0,,,0.0,0.0
382,Inter-Island Ferry Authority,Rural Reporter,Independent Public Agency or Authority of Transit Service,Craig,AK,2023,1.0,,,0.0,,,,0.0,25704.0,0.0,0.0,0.0,2142.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,45673.0,,,0.0,0.0
382,Inter-Island Ferry Authority,Rural Reporter,Independent Public Agency or Authority of Transit Service,Craig,AK,2024,1.0,,,0.0,,,,,25344.0,,,,2112.0,,,,,,,,,,,48554.0,,,,
419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,Kenai,AK,2022,7.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,48998.0,0.0,0.0,0.0,3172.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,5413.0,,0.0,0.0,0.0
419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,Kenai,AK,2023,7.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,75634.0,0.0,0.0,0.0,4610.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,12078.0,,0.0,0.0,0.0
419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,Kenai,AK,2024,7.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,79632.0,,,,4764.0,,,,,,,,,,,13392.0,,0.0,,
358,Ketchikan Gateway Borough,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Ketchikan,AK,2022,10.0,,,,,,,0.0,295593.0,0.0,0.0,0.0,19115.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,178972.0,,886.0,0.0,0.0
358,"Ketchikan Gateway Borough, dba: The Bus",Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Ketchikan,AK,2023,10.0,,,0.0,,,,0.0,355974.0,0.0,0.0,0.0,25153.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,395056.0,,1739.0,0.0,0.0
358,"Ketchikan Gateway Borough, dba: The Bus",Rural Reporter,"City, County or Local Government Unit or Department of Transportation",Ketchikan,AK,2024,11.0,,,0.0,,,,,358697.0,,,,22243.0,,,,,,,,,,,480345.0,,1228.0,,
239,Ketchikan Indian Community,Reduced Reporter,Tribe,Ketchikan,AK,2022,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,3326.0,0.0,0.0,0.0,429.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1115.0,,0.0,0.0,0.0
239,Ketchikan Indian Community,Reduced Reporter,Tribe,Ketchikan,AK,2023,4.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,11179.0,0.0,0.0,0.0,871.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2657.0,,0.0,0.0,0.0
239,Ketchikan Indian Community,Reduced Reporter,Tribe,Ketchikan,AK,2024,4.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,9271.0,,,,700.0,,,,,,,,,,,2465.0,,0.0,,
12,Municipality of Anchorage,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Anchorage,AK,2023,181.0,2305.0,"Anchorage, AK",91.69,249252.0,77.0,291247.0,5299972.0,5020190.0,279782.0,2287510.0,323305.0,297614.0,25691.0,,,0.0,0.0,0.0,,0.0,0.0,,3117877.0,60574.0,,20591368.0,0.0
12,Municipality of Anchorage,Full Reporter,"City, County or Local Government Unit or Department of Transportation",Anchorage,AK,2024,186.0,2305.0,"Anchorage, AK",91.69,249252.0,77.0,291247.0,5610813.0,5346930.0,263883.0,2400062.0,328146.0,309256.0,18890.0,,,,,,,,,,3440532.0,61682.0,,22647790.0,
12,"Municipality of Anchorage, dba: Public Transportation",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Anchorage,AK,2022,168.0,2305.0,"Anchorage, AK",91.69,249252.0,77.0,291247.0,4833875.0,4582107.0,251768.0,2282927.0,301186.0,280032.0,21154.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2731671.0,49652.0,0.0,18929362.0,0.0
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,2022,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,2344.0,0.0,0.0,0.0,688.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,5538.0,,0.0,0.0,0.0
420,Native Village of Unalakleet,Reduced Reporter,Tribe,Unalakleet,AK,2022,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,11097.0,0.0,0.0,0.0,1326.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,8851.0,,8279.0,0.0,0.0
420,Native Village of Unalakleet,Reduced Reporter,Tribe,Unalakleet,AK,2023,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,5341.0,0.0,0.0,0.0,561.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,6286.0,,5810.0,0.0,0.0
420,Native Village of Unalakleet,Reduced Reporter,Tribe,Unalakleet,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,5528.0,,,,581.0,,,,,,,,,,,6013.0,,0.0,,
414,Ninilchik Village,Reduced Reporter,Tribe,Ninilchik,AK,2022,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,35040.0,0.0,0.0,0.0,923.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,522.0,,,0.0,0.0
414,"Ninilchik Village, dba: BUMPS (Basic Unified Multi Path Services)",Reduced Reporter,Tribe,Ninilchik,AK,2023,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,35901.0,0.0,0.0,0.0,937.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,528.0,,,0.0,0.0
414,"Ninilchik Village, dba: BUMPS (Basic Unified Multi Path Services)",Reduced Reporter,Tribe,Ninilchik,AK,2024,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,36700.0,,,,943.0,,,,,,,,,,,745.0,,,,
462,Noorvik Native Community,Reduced Reporter,Tribe,Noorvik,AK,2022,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,1938.0,0.0,0.0,0.0,1945.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,1060.0,,0.0,0.0,0.0
462,Noorvik Native Community,Reduced Reporter,Tribe,Noorvik,AK,2023,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,900.0,0.0,0.0,0.0,325.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,625.0,,0.0,0.0,0.0
463,Petersburg Indian Association,Reduced Reporter,Tribe,Petersburg,AK,2022,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,8702.0,0.0,0.0,0.0,694.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,5882.0,,0.0,0.0,0.0
463,Petersburg Indian Association,Reduced Reporter,Tribe,Petersburg,AK,2023,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,9701.0,0.0,0.0,0.0,812.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,7146.0,,0.0,0.0,0.0
463,Petersburg Indian Association,Reduced Reporter,Tribe,Petersburg,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,12217.0,,,,1028.0,,,,,,,,,,,9476.0,,0.0,,
199,Seldovia Village Tribe,Reduced Reporter,Tribe,Seldovia,AK,2022,1.0,2.0,Alaska Non-UZA,0.0,,,,0.0,6336.0,0.0,0.0,0.0,297.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,17258.0,,,0.0,0.0
199,"Seldovia Village Tribe, dba: Seldovia Bay Ferry",Reduced Reporter,Tribe,Seldovia,AK,2023,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,6720.0,0.0,0.0,0.0,315.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,16538.0,,,0.0,0.0
199,"Seldovia Village Tribe, dba: Seldovia Bay Ferry",Reduced Reporter,Tribe,Seldovia,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,6160.0,,,,290.0,,,,,,,,,,,15071.0,,,,
340,"Senior Citizens of Kodiak, Inc.",Rural Reporter,Private-Non-Profit Corporation,Kodiak,AK,2022,2.0,,,,,,,0.0,38776.0,0.0,0.0,0.0,3664.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,16132.0,,492.0,0.0,0.0
340,"Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System",Rural Reporter,Private-Non-Profit Corporation,Kodiak,AK,2023,2.0,,,0.0,,,,0.0,38833.0,0.0,0.0,0.0,3653.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,12996.0,,0.0,0.0,0.0
340,"Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System",Rural Reporter,Private-Non-Profit Corporation,Kodiak,AK,2024,2.0,,,0.0,,,,,39587.0,,,,3256.0,,,,,,,,,,,12153.0,,0.0,,
14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,Sitka,AK,2022,2.0,2.0,Alaska Non-UZA,0.0,359299.0,0.0,0.0,0.0,95045.0,0.0,0.0,0.0,7692.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,39789.0,,,0.0,0.0
14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,Sitka,AK,2023,3.0,2.0,Alaska Non-UZA,0.0,359299.0,0.0,0.0,0.0,102199.0,0.0,0.0,0.0,7224.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,56698.0,,,0.0,0.0
14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,Sitka,AK,2024,3.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,139825.0,,,,9867.0,,,,,,,,,,,61391.0,,,,
399,Sunshine Transit,Rural Reporter,Private-Non-Profit Corporation,Talkeetna,AK,2022,14.0,,,,,,,0.0,164843.0,0.0,0.0,0.0,8184.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,13346.0,,995.0,0.0,0.0
399,Sunshine Transit,Rural Reporter,Private-Non-Profit Corporation,Talkeetna,AK,2023,12.0,,,0.0,,,,0.0,169035.0,0.0,0.0,0.0,8616.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,16220.0,,1090.0,0.0,0.0
399,Sunshine Transit,Rural Reporter,Private-Non-Profit Corporation,Talkeetna,AK,2024,11.0,,,0.0,,,,,198631.0,,,,8883.0,,,,,,,,,,,16784.0,,1193.0,,
327,Valley Transit,Rural Reporter,Private-Non-Profit Corporation,Wasilla,AK,2022,10.0,92459.0,"Wasilla--Knik-Fairview--North Lakes, AK",57.63,53444.0,,,0.0,513874.0,0.0,0.0,0.0,20652.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,31203.0,,0.0,0.0,0.0
327,Valley Transit,Reduced Reporter,Private-Non-Profit Corporation,Wasilla,AK,2023,10.0,92459.0,"Wasilla--Knik-Fairview--North Lakes, AK",57.63,53444.0,25.0,53444.0,0.0,581646.0,0.0,0.0,0.0,25374.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,48972.0,,0.0,0.0,0.0
327,Valley Transit,Reduced Reporter,Private-Non-Profit Corporation,Wasilla,AK,2024,10.0,92459.0,"Wasilla--Knik-Fairview--North Lakes, AK",57.63,53444.0,25.0,53444.0,,593834.0,,,,28090.0,,,,,,,,,,,60003.0,,0.0,,
41084,Alabama Tombigbee Regional Planning Commission,Rural Reporter,"MPO, COG or Other Planning Agency",Camden,AL,2022,14.0,,,,,,,0.0,187778.0,0.0,0.0,0.0,12754.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,56348.0,,30991.0,0.0,0.0
41084,Alabama Tombigbee Regional Planning Commission,Rural Reporter,"MPO, COG or Other Planning Agency",Camden,AL,2023,14.0,,,0.0,,,,0.0,180770.0,0.0,0.0,0.0,13319.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,55053.0,,27553.0,0.0,0.0
41084,Alabama Tombigbee Regional Planning Commission,Rural Reporter,"MPO, COG or Other Planning Agency",Camden,AL,2024,15.0,,,0.0,,,,,207099.0,,,,14491.0,,,,,,,,,,,53023.0,,27601.0,,
41188,Area Referral & Information Services for the Elderly,Rural Reporter,Private-Non-Profit Corporation,Alexander City,AL,2023,5.0,,,0.0,,,,0.0,51589.0,0.0,0.0,0.0,4721.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,10201.0,,0.0,0.0,0.0
41188,"Area Referral & Information Services for the Elderly, dba: ARISE Transportation",Rural Reporter,Private-Non-Profit Corporation,Alexander City,AL,2024,6.0,,,0.0,,,,,86888.0,,,,6963.0,,,,,,,,,,,13923.0,,0.0,,
41188,Area Referral & Informtn Services for the Elderly,Rural Reporter,Private-Non-Profit Corporation,Alexander City,AL,2022,5.0,,,,,,,0.0,43849.0,0.0,0.0,0.0,4330.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,9403.0,,0.0,0.0,0.0
40213,"Autauga County , dba: Autauga County Rural Transportation",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Prattville,AL,2023,12.0,58600.0,"Montgomery, AL",145.1,254348.0,139.0,58805.0,0.0,245479.0,0.0,0.0,0.0,17438.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,41905.0,,20190.0,0.0,0.0
40213,"Autauga County , dba: Autauga County Rural Transportation",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Prattville,AL,2024,11.0,58600.0,"Montgomery, AL",145.1,254348.0,139.0,58805.0,,238132.0,,,,17361.0,,,,,,,,,,,37939.0,,21364.0,,
40213,"Autauga County Commission, dba: Autauga County Rural Transportation",Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",Prattville,AL,2022,13.0,58600.0,"Montgomery, AL",145.1,254348.0,139.0,35662.0,0.0,250675.0,0.0,0.0,0.0,20262.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,44667.0,,20618.0,0.0,0.0
40928,"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Bay Minette,AL,2022,30.0,28766.0,"Fairhope--Daphne, AL",59.07,76807.0,1590.0,218022.0,1035386.0,888152.0,147234.0,0.0,49788.0,38420.0,11368.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,95362.0,0.0,0.0,1403536.0,0.0
40928,"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Bay Minette,AL,2023,30.0,28766.0,"Fairhope--Daphne, AL",59.07,76807.0,1590.0,246435.0,978584.0,859938.0,118646.0,0.0,46252.0,37119.0,9133.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,101576.0,0.0,0.0,1077003.0,0.0
40928,"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Full Reporter,"City, County or Local Government Unit or Department of Transportation",Bay Minette,AL,2024,28.0,28766.0,"Fairhope--Daphne, AL",59.07,76807.0,1590.0,253507.0,975070.0,851744.0,123326.0,,45055.0,36854.0,8201.0,0.0,0.0,,,,,,,,100167.0,0.0,0.0,1078904.0,
41118,Birmingham Regional Paratransit Consortium,Rural Reporter,Private-Non-Profit Corporation,Birmingham,AL,2022,6.0,,,,,,,0.0,192709.0,0.0,0.0,0.0,11597.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,17726.0,,1485.0,0.0,0.0
41118,Birmingham Regional Paratransit Consortium,Rural Reporter,Private-Non-Profit Corporation,Birmingham,AL,2023,5.0,,,0.0,,,,0.0,164429.0,0.0,0.0,0.0,8390.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,17845.0,,2121.0,0.0,0.0
