"NTD ID","Agency","Reporter Type","Organization Type","City","State","Report Year","Agency VOMS","UACE Code","UZA Name","Primary UZA Area Sq Miles","Primary UZA Population","Service Area Sq Miles","Service Area Population","Actual Vehicle/Passenger Car Miles","Actual Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Deadhead Miles","Scheduled Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Hours","Actual Vehicle/Passenger Car Revenue Hours","Actual Vehicle/Passenger Car Deadhead Hours","Charter Service Hours","School Bus Hours","Trains in Operation","Train Miles","Train Revenue Miles","Train Deadhead Miles","Train Hours","Train Revenue Hours","Train Deadhead Hours","Unlinked Passenger Trips (UPT)","ADA UPT","Sponsored Service UPT","Passenger Miles Traveled","Directional Route Miles"
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Olympia","WA","2024","243","65242","Olympia--Lacey, WA","106.21","208,157","101","206,183","7,292,884","7,048,118","244,766","3,676,456","427,528","404,567","22,961","0","0",,,,,,,,"4,589,073","111,629",,"25,904,435",
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Bremerton","WA","2024","213","09946","Bremerton, WA","146.91","224,449","396","254,183","5,073,461","4,505,681","597,399","2,676,913","281,718","249,043","35,228","0","0",,,,,,,,"3,217,021","176,080","0","28,157,559","100.09"
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Bellingham","WA","2024","103","06652","Bellingham, WA","50.13","128,979","776","237,806","3,551,685","3,263,697","287,988","2,152,172","240,721","223,553","17,168","0","0",,,,,,,,"3,977,734","179,826","0","13,154,642",
"00022","City of Pocatello, dba: Pocatello Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Pocatello","ID","2024","24","70426","Pocatello, ID","27.46","72,211","5,460","175,045",,"621,360",,,,"37,179",,,,,,,,,,,"198,759",,"26,086",,
"00023","City of Seattle, dba: Seattle Center Monorail","Full Reporter","City, County or Local Government Unit or Department of Transportation","Seattle","WA","2024","8","80389","Seattle--Tacoma, WA","982.52","3,544,011","83","753,655","222,498","222,498","0","222,498","21,336","21,336","0",,,,"55,625","55,625","0","5,334","5,334","0","2,160,883",,,"1,944,795","1.8"
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","Vancouver","WA","2024","167","71317","Portland, OR--WA","519.3","2,104,238","143","457,472","6,696,918","5,993,258","703,660","4,158,739","429,916","398,112","31,804","0","0",,,,,,,,"4,965,694","253,472","0","18,858,565","3.35"
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","Salem","OR","2024","139","78229","Salem, OR","72.68","268,331","78","309,881","4,433,286","4,135,529","297,757","3,134,547","311,017","292,034","18,983","0","0",,,,,,,,"3,524,645","97,780","7,132","12,587,865",
"00028","County of Pierce, dba: Pierce County Ferry","Full Reporter","City, County or Local Government Unit or Department of Transportation","Tacoma","WA","2024","2","80389","Seattle--Tacoma, WA","982.52","3,544,011","233","925,708","43,216","43,216","0","44,362","5,396","5,396","0","0",,,,,,,,,"450,636",,,"1,774,340","8.62"
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Everett","WA","2024","563","80389","Seattle--Tacoma, WA","982.52","3,544,011","257","920,344","15,444,314","12,519,249","2,925,065","8,078,762","856,620","744,793","111,827",,,,,,,,,,"8,426,406","151,053",,"62,733,206","63.12"
"00030","Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Reduced Reporter","Tribe","Palmer","AK","2024","3","00002","Alaska Non-UZA","0","359,299",,,,"32,313",,,,"2,107",,,,,,,,,,,"3,015",,"0",,
"00031","Shoshone-Bannock Tribes","Reduced Reporter","Tribe","Fort Hall","ID","2024","7","00016","Idaho Non-UZA","0","836,252",,,,"258,228",,,,"12,829",,,,,,,,,,,"19,923",,,,
"00033","Senior Services of Snohomish County, dba: Homage Senior Services","Reduced Reporter","Private-Non-Profit Corporation","Everett","WA","2024","11","80389","Seattle--Tacoma, WA","982.52","3,544,011","2,087","827,957",,"235,501",,,,"12,267",,,,,,,,,,,"16,570",,"0",,
"00034","Rogue Valley Transportation District","Full Reporter","Independent Public Agency or Authority of Transit Service","Medford","OR","2024","52","55981","Medford, OR","63.02","171,640","78","180,555","1,850,614","1,709,563","141,051","1,325,960","129,772","120,592","9,180","0","0",,,,,,,,"1,001,161","28,704","13,462","5,160,137",
"00035","Washington State Ferries","Full Reporter","State Government Unit or Department of Transportation","Olympia","WA","2024","15","80389","Seattle--Tacoma, WA","982.52","3,544,011","1,945","3,919,300","761,355","759,247","2,108","781,471","108,936","108,571","365","0",,,,,,,,,"18,859,209",,,"135,009,793","185.2"
"00036","Makah Tribal Council","Reduced Reporter","Tribe","Neah Bay","WA","2024","1","00053","Washington Non-UZA","0","1,895,776",,,,"29,942",,,,"2,003",,,,,,,,,,,"3,152",,,,
"00040","Central Puget Sound Regional Transit Authority, dba: Sound Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Seattle","WA","2024","429","80389","Seattle--Tacoma, WA","982.52","3,544,011","1,089","3,385,200","25,142,475","20,702,947","4,439,528","21,717,019","1,292,559","1,101,781","190,778","0","0",,"3,842,254","3,385,764","456,490","192,514","173,849","18,665","41,949,168",,,"409,265,566","464.42"
"00041","Alaska Railroad Corporation","Full Reporter","State Government Unit or Department of Transportation","Anchorage","AK","2024","59","02305","Anchorage, AK","91.69","249,252","266","352,701","1,293,986","1,282,149","11,837","1,284,929","50,624","48,214","2,410",,,,"194,870","193,175","1,695","7,948","7,600","348","234,699",,,"29,263,348","959.93"
"00043","Chelan Douglas PTBA , dba: Link Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Wenatchee","WA","2024","82","93862","Wenatchee, WA","32.6","78,142","197","122,915","3,444,953","3,243,622","201,331","2,423,644","183,402","172,081","11,321",,,,,,,,,,"1,358,002","93,308",,"12,004,875",
"00044","Skagit Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Burlington","WA","2024","79","60490","Mount Vernon, WA","30.66","66,825","760","118,568","2,808,474","2,641,825","166,649","1,656,270","151,942","143,400","8,542","0","0",,,,,,,,"623,607","69,156","0","7,867,178",
"00045","Fairbanks North Star Borough , dba: Metropolitan Area Commuter System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Fairbanks","AK","2024","20","28549","Fairbanks, AK","74.3","71,396","7,338","95,356",,"683,860",,,,"40,822",,,,,,,,,,,"295,964",,"0",,
"00046","City of Wilsonville, dba: South Metro Area Regional Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Wilsonville","OR","2024","19","71317","Portland, OR--WA","519.3","2,104,238","80","73,800","600,588","567,975","32,613","512,994","32,779","29,274","3,505","0","0",,,,,,,,"197,607","7,302",,"1,285,070",
"00047","City of Corvallis, dba: Corvallis Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Corvallis","OR","2024","10","20422","Corvallis, OR","17.45","66,791","14","67,306",,"407,089",,,,"39,622",,,,,,,,,,,"1,020,099",,,,
"00048","City of Lewiston, dba: Lewiston Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Lewiston","ID","2024","5","49312","Lewiston, ID--WA","27.93","54,798","17","54,798",,"144,106",,,,"11,188",,,,,,,,,,,"46,743",,"0",,
"00051","Asotin County Public Transportation Benefit Area","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Clarkston","WA","2024","13","49312","Lewiston, ID--WA","27.93","54,798","20","22,397",,"353,570",,,,"17,559",,,,,,,,,,,"78,699",,"0",,
"00053","Coeur d'Alene Tribe, dba: Citylink Transit","Reduced Reporter","Tribe","Plummer","ID","2024","7","18451","Coeur d'Alene, ID","46.76","121,831","388","21,188",,"647,214",,,,"25,488",,,,,,,,,,,"196,358",,"0",,
"00055","Kootenai County, dba: Citylink North","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Coeur D Alene","ID","2024","4","18451","Coeur d'Alene, ID","46.76","121,831","32","90,132",,"70,805",,,,"6,857",,,,,,,,,,,"12,075",,"0",,
"00057","Central Oregon Intergovernmental Council, dba: Cascades East Transit","Full Reporter","MPO, COG or Other Planning Agency","Bend","OR","2024","90","06868","Bend, OR","42.41","106,988","78","156,297","1,663,772","1,597,966","65,806","917,076","88,846","83,382","5,464",,,,,,,,,,"657,329","32,003",,"5,807,256",
"00058","City of Portland, dba: Portland Streetcar","Full Reporter","City, County or Local Government Unit or Department of Transportation","Portland","OR","2024","14","71317","Portland, OR--WA","519.3","2,104,238","11","101,220","402,059","401,370","689","408,659","68,758","67,606","1,152","0","0",,"375,080","374,391","689","65,864","64,712","1,152","4,101,291",,,"4,057,322","16.72"
"00059","Josephine County, dba: Josephine Community Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Grants Pass","OR","2024","18","34516","Grants Pass, OR","30.42","55,724","80","48,000",,"529,002",,,,"27,969",,,,,,,,,,,"144,040",,"0",,
"00061","City of Albany, dba: Albany Transit System, Linn-Benton Loop","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Albany","OR","2024","15","00955","Albany, OR","23.05","62,074","36","123,730",,"496,540",,,,"28,463",,,,,,,,,,,"168,384",,"0",,
"00063","City of Milton-Freewater","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Milton Freewater","OR","2024","2",,,"0",,,,,"22,337",,,,"1,434",,,,,,,,,,,"4,860",,"0",,
"00064","Valley Transit","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Walla Walla","WA","2024","19","91405","Walla Walla, WA--OR","23.86","50,013","25","47,390",,"549,838",,,,"40,292",,,,,,,,,,,"502,014",,"0",,
"00065","Benton County, dba: Benton Area Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Corvallis","OR","2024","13","20422","Corvallis, OR","17.45","66,791","675","96,017",,"321,006",,,,"22,027",,,,,,,,,,,"43,189",,"0",,
"00085","Gulkana Village Council, dba: Soaring Eagle Transit","Reduced Reporter","Tribe","Gakona","AK","2024","3","00002","Alaska Non-UZA","0","359,299",,,,"103,947",,,,"2,789",,,,,,,,,,,"1,209",,"0",,
"00095","Lummi Nation, dba: Lummi Transit","Reduced Reporter","Tribe","Bellingham","WA","2024","4","00053","Washington Non-UZA","0","1,895,776",,,,"61,187",,,,"5,374",,,,,,,,,,,"13,546",,,,
"00103","Squaxin Island Tribe, dba: Squaxin Island Transit","Reduced Reporter","Tribe","Shelton","WA","2024","5","00053","Washington Non-UZA","0","1,895,776",,,,"52,188",,,,"3,354",,,,,,,,,,,"8,271",,"0",,
"00111","Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Reduced Reporter","Tribe","Toppenish","WA","2024","7","00053","Washington Non-UZA","0","1,895,776","0","0",,"195,036",,,,"6,742",,,,,,,,,,,"19,139",,"0",,
"00119","Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Reduced Reporter","Tribe","Pendleton","OR","2024","8","00041","Oregon Non-UZA","0","1,553,447",,,,"485,491",,,,"18,029",,,,,,,,,,,"79,864",,,,
"00127","Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Reduced Reporter","Tribe","Longview","WA","2024","8","00053","Washington Non-UZA","0","1,895,776",,,,"150,154",,,,"4,889",,,,,,,,,,,"5,799",,"0",,
"00135","Nez Perce Tribe, dba: Appaloosa Express","Reduced Reporter","Tribe","Lapwai","ID","2024","4","00016","Idaho Non-UZA","0","836,252",,,,"215,164",,,,"8,054",,,,,,,,,,,"5,851",,"0",,
"00143","Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Reduced Reporter","Tribe","Mountain Village","AK","2024","1","00002","Alaska Non-UZA","0","359,299",,,,"5,834",,,,"436",,,,,,,,,,,"1,683",,"0",,
"00199","Seldovia Village Tribe, dba: Seldovia Bay Ferry","Reduced Reporter","Tribe","Seldovia","AK","2024","1","00002","Alaska Non-UZA","0","359,299",,,,"6,160",,,,"290",,,,,,,,,,,"15,071",,,,
"00207","Spokane Tribe of Indians, dba: The Moccasin Express","Reduced Reporter","Tribe","Wellpinit","WA","2024","10","00053","Washington Non-UZA","0","1,895,776",,,,"496,129",,,,"19,483",,,,,,,,,,,"28,809",,"0",,
"00239","Ketchikan Indian Community","Reduced Reporter","Tribe","Ketchikan","AK","2024","4","00002","Alaska Non-UZA","0","359,299",,,,"9,271",,,,"700",,,,,,,,,,,"2,465",,"0",,
"00279","Hydaburg Cooperative Association, dba: HCA transit","Reduced Reporter","Tribe","Hydaburg","AK","2024","1","00002","Alaska Non-UZA","0","359,299",,,,"17,407",,,,"1,255",,,,,,,,,,,"677",,"0",,
"00282","Garfield County Transportation Program, dba: Garfield County Transportation Authority","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Pomeroy","WA","2024","4",,,"0",,"248","409,271",,"64,694",,,,"4,603",,,,,,,,,,,"13,512",,"0",,
"00285","Thurston Regional Planning Council, dba: ruralTRANSIT","Rural Reporter","MPO, COG or Other Planning Agency","Olympia","WA","2024","6",,,"0",,,,,"347,923",,,,"12,508",,,,,,,,,,,"35,347",,,,
"00286","Rural Resources Community Action","Rural Reporter","Private-Non-Profit Corporation","Colville","WA","2024","8",,,"0",,,,,"359,768",,,,"13,435",,,,,,,,,,,"19,941",,"0",,
"00287","People for People Moses Lake","Rural Reporter","Private-Non-Profit Corporation","Yakima","WA","2024","26",,,"0",,,,,"457,135",,,,"24,680",,,,,,,,,,,"26,655",,"0",,
"00294","City of Pullman, dba: Pullman Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Pullman","WA","2024","17",,,"0",,,,,"439,514",,,,"33,808",,,,,,,,,,,"710,872",,"0",,
"00296","Tillamook County Transportation District, dba: The Wave","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Tillamook","OR","2024","11",,,"0",,,,,"774,274",,,,"30,663",,,,,,,,,,,"112,375",,"4,029",,
"00297","People for People Yakima","Reduced Reporter","Private-Non-Profit Corporation","Yakima","WA","2024","17","97507","Yakima, WA","55.77","133,145","4,295","256,643",,"401,918",,,,"19,320",,,,,,,,,,,"34,939",,"0",,
"00298","Island Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Coupeville","WA","2024","57",,,"0",,,,,"2,257,814",,,,"90,256",,,,,,,,,,,"496,782",,"0",,
"00299","Klickitat County Senior Services, dba: Mount Adams Transportation Service","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Goldendale","WA","2024","14",,,"0",,,,,"389,525",,,,"16,890",,,,,,,,,,,"21,086",,"0",,
"00300","City of Silverton, dba: Silver Trolley","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Silverton","OR","2024","2",,,"0",,,,,"14,289",,,,"1,928",,,,,,,,,,,"6,221",,"0",,
"00301","South Clackamas Transportation District","Rural Reporter","Independent Public Agency or Authority of Transit Service","Molalla","OR","2024","4",,,"0",,,,,"293,578",,,,"12,793",,,,,,,,,,,"27,053",,,,
"00303","Clallam Transit System","Rural Reporter","Independent Public Agency or Authority of Transit Service","Port Angeles","WA","2024","56",,,"0",,,,,"2,021,372",,,,"94,105",,,,,,,,,,,"898,834",,"0",,
"00307","Coos County Area Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Coos Bay","OR","2024","13",,,"0",,,,,"324,953",,,,"21,117",,,,,,,,,,,"72,072",,"1,437",,
"00308","Curry County Public Transit Service District, dba: Curry Public Transit Inc","Rural Reporter","Private Provider Reporting on Behalf of a Public Entity","Brookings","OR","2024","11",,,"0",,,,,"274,044",,,,"11,666",,,,,,,,,,,"24,371",,"51",,
"00309","Grant County Transportation Authority, dba: Grant Transit Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Moses Lake","WA","2024","46",,,"0",,,,,"999,759",,,,"46,409",,,,,,,,,,,"197,928",,"0",,
"00310","Lincoln County Transportation Service District, dba: Lincoln County Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Newport","OR","2024","13",,,"0",,,,,"524,068",,,,"29,804",,,,,,,,,,,"288,727",,"0",,
"00311","Mountain Rides Transportation Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Ketchum","ID","2024","34",,,"0",,,,,"1,055,676",,,,"45,724",,,,,,,,,,,"702,076",,"0",,
"00312","Hopesource","Rural Reporter","Private-Non-Profit Corporation","Ellensburg","WA","2024","14",,,"0",,,,,"448,129",,,,"34,363",,,,,,,,,,,"139,470",,"5,094",,
"00313","Grant County Transportation District, dba: The People Mover","Rural Reporter","City, County or Local Government Unit or Department of Transportation","John Day","OR","2024","6",,,"0",,,,,"327,120",,,,"15,589",,,,,,,,,,,"24,644",,"1,778",,
"00314","Grays Harbor Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Hoquiam","WA","2024","46",,,"0",,,,,"1,871,947",,,,"90,943",,,,,,,,,,,"971,600",,"0",,
"00315","Mason County Transportation Authority, dba: Mason Transit Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Shelton","WA","2024","35",,,"0",,,,,"859,881",,,,"40,942",,,,,,,,,,,"532,336",,"0",,
"00316","Jefferson Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Port Townsend","WA","2024","13",,,"0",,,,,"733,485",,,,"30,074",,,,,,,,,,,"256,034",,"0",,
"00317","Mt Si Senior Center, dba: Snoqualmie Valley Transportation","Rural Reporter","Private-Non-Profit Corporation","North Bend","WA","2024","9",,,"0",,,,,"212,801",,,,"24,155",,,,,,,,,,,"28,324",,"0",,
"00319","Hood River County Transportation District, dba: Columbia Area Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Hood River","OR","2024","13",,,"0",,,,,"489,493",,,,"16,601",,,,,,,,,,,"83,745",,"0",,
"00321","Yamhill County, dba: Yamhill County Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mcminnville","OR","2024","26",,,"0",,,,,"629,560",,,,"39,889",,,,,,,,,,,"196,381",,"0",,
"00322","Pacific Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Raymond","WA","2024","14",,,"0",,,,,"603,074",,,,"31,290",,,,,,,,,,,"93,039",,"0",,
"00323","Malheur Council on Aging and Community Services","Rural Reporter","Private-Non-Profit Corporation","Ontario","OR","2024","11",,,"0",,,,,"194,175",,,,"12,484",,,,,,,,,,,"25,004",,"7,945",,
"00327","Valley Transit","Reduced Reporter","Private-Non-Profit Corporation","Wasilla","AK","2024","10","92459","Wasilla--Knik-Fairview--North Lakes, AK","57.63","53,444","25","53,444",,"593,834",,,,"28,090",,,,,,,,,,,"60,003",,"0",,
"00330","City of Canby","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Canby","OR","2024","9","71317","Portland, OR--WA","519.3","2,104,238","23","37,000",,"354,611",,,,"15,883",,,,,,,,,,,"93,664",,"0",,
"00331","Sunset Empire Transportation District","Rural Reporter","Independent Public Agency or Authority of Transit Service","Astoria","OR","2024","9",,,"0",,,,,"249,004",,,,"15,744",,,,,,,,,,,"74,676",,"203",,
"00332","Okanogan County Transportation & Nutrition","Rural Reporter","Private-Non-Profit Corporation","Omak","WA","2024","12",,,"0",,,,,"385,442",,,,"20,188",,,,,,,,,,,"49,683",,"1,793",,
"00333","Council on Aging & Human Services, dba: COAST Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Colfax","WA","2024","19",,,"0",,"14","42,230",,"274,322",,,,"10,147",,,,,,,,,,,"11,327",,"11,327",,
"00336","Skamania County Senior Services","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Stevenson","WA","2024","12",,,"0",,,,,"283,713",,,,"13,690",,,,,,,,,,,"19,918",,"0",,
"00339","Basin Transit Service, dba: Basin Transit Service Transportation District","Rural Reporter","Independent Public Agency or Authority of Transit Service","Klamath Falls","OR","2024","9",,,"0",,,,,"302,182",,,,"23,932",,,,,,,,,,,"158,212",,"0",,
"00340","Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System","Rural Reporter","Private-Non-Profit Corporation","Kodiak","AK","2024","2",,,"0",,,,,"39,587",,,,"3,256",,,,,,,,,,,"12,153",,"0",,
"00341","Selkirks-Pend Oreille Transit Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Dover","ID","2024","14",,,"0",,,,,"240,266",,,,"16,570",,,,,,,,,,,"167,786",,"0",,
"00343","Community Connection of Northeast Oregon, dba: NEOTransit","Rural Reporter","Private-Non-Profit Corporation","La Grande","OR","2024","20",,,"0",,,,,"440,663",,,,"25,073",,,,,,,,,,,"65,097",,"0",,
"00345","Glacier Valley Transit","Rural Reporter","Private-Non-Profit Corporation","Girdwood","AK","2024","2",,,"0",,,,,"79,868",,,,"6,201",,,,,,,,,,,"73,620",,,,
"00347","Regional Public Transportation, Inc., dba: SMART Transit","Rural Reporter","Private-Non-Profit Corporation","Moscow","ID","2024","5",,,"0",,,,,"95,494",,,,"9,701",,,,,,,,,,,"111,728",,"2,081",,
"00348","Senior Citizens of Sweet Home, Inc.","Rural Reporter","Private-Non-Profit Corporation","Sweet Home","OR","2024","11",,,"0",,,,,"325,337",,,,"18,353",,,,,,,,,,,"57,870",,"4,084",,
"00354","Catholic Community Service, Sitka, dba: Catholic Community Service","Rural Reporter","Private-Non-Profit Corporation","Juneau","AK","2024","3",,,"0",,,,,"17,995",,,,"2,148",,,,,,,,,,,"3,222",,"0",,
"00358","Ketchikan Gateway Borough, dba: The Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Ketchikan","AK","2024","11",,,"0",,,,,"358,697",,,,"22,243",,,,,,,,,,,"480,345",,"1,228",,
"00359","City of Pendleton, dba: Let'Er Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Pendleton","OR","2024","6",,,"0",,,,,"119,190",,,,"15,014",,,,,,,,,,,"41,353",,"0",,
"00360","City of Woodburn, dba: Woodburn Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Woodburn","OR","2024","6",,,"0",,,,,"139,682",,,,"12,130",,,,,,,,,,,"69,798",,"0",,
"00363","Clackamas County , dba: Mt Hood Express and #ClackCo Shuttles","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Oregon City","OR","2024","22","71317","Portland, OR--WA","519.3","2,104,238","1,871","421,000",,"741,354",,,,"37,950",,,,,,,,,,,"128,265",,"0",,
"00364","Lewis County Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Centralia","WA","2024","20",,,"0",,,,,"953,870",,,,"37,165",,,,,,,,,,,"240,178",,"0",,
